person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
314006;1;1227893.6217933851;6197637.851315579;1228514.514304561;6199630.152082538;62550.0;3202.0;0.0;4283.464454973075;car;work;home;true;2086.8085337326024
151002;3;1223892.1191204702;6076048.691029457;1223530.526990578;6076024.506068042;65285.0;491.0;0.0;658.798291454698;car;other;home;true;362.40002864054185
136329;3;1176297.4618925382;6108686.821188653;1177289.5815763888;6111814.221105715;62608.0;3176.0;0.0;4625.824241846198;car;work;other;false;3280.9955361635984
89802;4;1176120.8228470224;6109108.489956359;1175670.796154908;6107779.695278814;63730.0;2080.0;0.0;2503.470828315965;car;other;home;true;1402.9323998996938
271372;1;1228596.4423124176;6198556.467616616;1236397.5005936073;6178934.374179691;53754.0;12062.0;0.0;28553.735194964676;car;work;home;true;21115.94329301735
45140;6;1181625.3343722464;6112434.940466636;1186243.4051575102;6118911.156602781;60845.0;5024.0;0.0;9254.74853828838;car;work;other;false;7954.115489466883
184137;1;1228910.801675094;6184046.0287826825;1228214.2925190558;6183794.693680873;64015.0;1875.0;0.0;2656.9902342160367;car;shop;leisure;false;740.4689985723126
136594;7;1178592.3668199517;6111630.975208228;1179759.5306490175;6111800.849352287;64129.0;1786.0;0.0;3833.4696909007284;car;other;other;false;1179.4611603182811
93627;6;1182751.1831680625;6114572.258568199;1178652.0727638584;6112471.241170483;60938.0;5029.0;0.0;6613.658777017714;car;work;other;false;4606.189337333237
288053;1;1228476.1916890324;6197184.780684759;1228042.974265567;6196966.022914134;65532.0;539.0;0.0;665.5711850367824;car;shop;home;true;485.3166988706851
237076;3;1231463.6135998245;6123563.50942093;1229408.8495780278;6121357.104756426;62525.0;3575.0;0.0;4900.331914456384;car;work;other;false;3015.0085785643164
77744;6;1181114.3797016847;6108911.521995338;1176646.455156276;6107990.062390221;60729.0;5371.0;0.0;7355.842471152131;car;work;other;false;4561.955452141849
232038;0;1235685.580298906;6171449.704921676;1228938.5400866996;6174475.487383492;58193.0;7934.0;0.0;17258.887841958058;car;home;shop;false;7394.451374602781
310247;0;1228698.7715120632;6200056.452012356;1220522.0843053702;6198605.9854674935;58987.0;7181.0;0.0;18953.93011129228;car;home;shop;false;8304.340243141727
118916;2;1175009.0554188627;6107105.593902391;1176650.4013741366;6109547.205375234;63007.0;3176.0;0.0;4173.239728094799;car;home;other;false;2942.0202462268753
21393;3;1221093.8930863668;6051236.197974659;1217553.5340906242;6052707.179482165;61560.0;4778.0;0.0;6853.058390626912;car;work;other;false;3833.78773723338
136328;1;1177469.2718528374;6110034.024406339;1179346.8936317007;6111475.176392228;63983.0;2358.0;0.0;3129.4939338366103;car;shop;leisure;false;2366.9352739131396
143536;3;1176120.8228470224;6109108.489956359;1176189.3860885382;6108097.153755544;64777.0;1588.0;0.0;2008.8823966861353;car;work;home;true;1013.6576488969703
283674;4;1229805.0091226986;6176241.966844834;1229472.8129723638;6176380.867452199;66004.0;405.0;0.0;555.0701170541962;car;home;leisure;false;360.0661897810027
140849;3;1176862.692588959;6109826.490210928;1175412.4041240616;6107415.246162083;64017.0;2412.0;0.0;4126.83540425343;car;work;home;true;2813.793612634861
155560;7;1224061.1223200448;6074585.089226314;1225229.235577249;6074949.707360499;65060.0;1401.0;0.0;2351.6240193323;car;other;other;false;1223.6972523596373
154055;3;1225747.3711256953;6078622.310206952;1225148.0761352782;6078761.482422598;65279.0;1237.0;0.0;1776.6685144191208;car;other;home;true;615.2425466000088
325109;3;1230377.8597344891;6182705.450546285;1227780.9189856623;6196545.649752121;62687.0;3857.0;0.0;16957.75365985841;car;work;home;true;14081.73339153062
114375;3;1176120.5930861342;6108251.359632464;1180986.4111320735;6108633.323317708;61257.0;5330.0;0.0;7137.028275818718;car;work;other;false;4880.786976813693
21281;3;1220639.2473653972;6051198.114801861;1217604.6894826964;6053327.364986824;62795.0;3842.0;0.0;4611.095916098137;walk;leisure;home;true;3707.0538023644326
127510;6;1174583.8788485378;6109994.729739884;1177272.1149844725;6111367.114983907;62381.0;4268.0;0.0;8818.62807200964;car;work;other;false;3018.2867293478616
62427;4;1192814.811933098;6082167.280619207;1193407.623620133;6082759.558544699;65387.0;1274.0;0.0;2066.8901781435225;car;home;leisure;false;837.9849863277547
87063;4;1176394.9578314004;6108442.417001528;1176748.0276057299;6108073.144564921;66009.0;672.0;0.0;913.5832156179247;car;home;leisure;false;510.901554100672
79999;3;1176713.595791522;6108270.640813554;1177862.5339555212;6110716.310389326;63742.0;3022.0;0.0;4280.036488645899;car;work;home;true;2702.102621765491
110962;1;1177562.2950535244;6111034.301125348;1176904.208901452;6110134.727077888;65616.0;1165.0;0.0;1678.5088353895298;car;shop;leisure;false;1114.5899920652066
118917;3;1176364.0542230771;6110011.487975612;1175009.0554188627;6107105.593902391;63567.0;3214.0;0.0;4280.945283578761;car;work;home;true;3206.281666385978
143931;8;1178028.7355130347;6110826.818525234;1175650.8865857832;6109341.2393278405;63673.0;3124.0;0.0;4333.03647314974;car;other;home;true;2803.767300001954
185090;4;1181349.081363728;6174184.103668107;1181986.1668233243;6174706.646571886;66033.0;795.0;0.0;1093.2166472379763;car;home;leisure;false;823.9714613497396
226801;4;1235549.7758085413;6171522.16428983;1235451.118582713;6171730.843966203;66692.0;178.0;0.0;214.0174612269173;walk;home;leisure;false;230.82559550255348
178900;4;1227729.0493215418;6188787.531330463;1228170.7309788903;6185736.009834037;63496.0;3535.0;0.0;5222.690574212404;car;other;home;true;3083.3206336001367
108514;7;1187253.6874713143;6118592.285610942;1184291.5151109332;6118437.223664265;63165.0;3949.0;0.0;5458.041133652757;car;other;other;false;2966.228126748359
324884;2;1228685.6508405942;6200106.113665405;1228628.2770845415;6200836.431353867;65283.0;1894.0;0.0;2856.531174857921;car;home;other;false;732.5678630437911
